Name,Level,Attribute,Special 1,Special 2,Special 3,Move#1,Move#2,Move#3,Move#4,Move#5,Move#6,Move#7,Move#8,Move#9,Move#10,Move#11,Move#12,Move#13,Move#14,Move#15,Move#16,Sleeping Schedule,Favourite Food,Energy Capacity,Training Type,Liked Areas,Energy Usage Mod,Disliked Areas,Base Weight,Gain HP,Gain MP,Gain Offense,Gain Defense,Gain Speed,Gain Brains,Evolve From 1,Evolve From 2,Evolve From 3,Evolve From 4,Evolve From 5,Evolve To 1,Evolve To 2,Evolve To 3,Evolve To 4,Evolve To 5,Evolve To 6
Dodomon,Baby I,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+SPD -DEF,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",6,100,100,12,10,14,10,,,,,,Wanyamon,,,,,
Botamon,Baby I,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+ATK -BRN,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",5,110,110,11,11,11,11,,,,,,Koromon,,,,,
Jyarimon,Baby I,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+ATK -SPD,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",7,120,100,14,10,10,10,,,,,,Gigimon,,,,,
Yuramon,Baby I,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+BRN -ATK,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",6,100,120,10,10,10,14,,,,,,Budmon,,,,,
Poyomon,Baby I,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+DEF -HP,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",5,100,100,10,14,10,12,,,,,,Tokomon,,,,,
Wanyamon,Baby II,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+SPD -DEF,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",10,200,200,24,20,28,20,Dodomon,,,,,Gaomon,Patamon,Gomamon,Renamon,Plotmon,
Koromon,Baby II,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+ATK -BRN,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",9,220,220,22,22,22,22,Botamon,,,,,Agumon,Guilmon,Gaomon,Goburimon,Tyumon,
Gigimon,Baby II,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+ATK -SPD,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",11,240,200,28,20,20,20,Jyarimon,,,,,Guilmon,Candmon,DORUmon,Agumon,Hagurumon,
Budmon,Baby II,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+BRN -ATK,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",10,200,240,20,20,20,28,Yuramon,,,,,Lalamon,Piyomon,Palmon,Wormmon,Betamon,
Tokomon,Baby II,None,None,None,None,Bubbles,,,,,,,,,,,,,,,,00:00-14:00,None,25,+DEF -HP,"File City, Colosseum, Railroad Plains, Signpost Forest",0.7,"Ancient Submerged City, Sewer Maze, Flourescent Cave, Bonkeno Volcano, Powdery Cliffs, Sand and Gravel Wilderness, Binary Castle, Night Canyon, Ancient Bone Swamp",9,200,200,20,28,20,24,Poyomon,,,,,Lucemon,Gabumon,Tentomon,Kamemon,Patamon,
Hagurumon,Child,Virus,Machine,None,None,Mechanical Claw,Upgrade,Energy Ball,Anti-Attack Field,Fire Wall,Mine,,,,,,,,,,,07:00-22:00,Heavy Strawberry,40,+BRN -ATK,"Sewer Maze, Binary Castle",1.05,"Signpost Forest, Ancient Submerged City",18,850,650,50,80,40,100,Gigimon,Mochimon,,,,Guardromon,Kabuterimon,Kuwagamon,Ikkakumon,Meramon,
Candmon,Child,Data,Fire,None,None,Fire Breath,Fire Tower,Fire Wall,Mine,Mach Jab,Spin Attack,,,,,,,,,,,16:00-06:00,Digimushroom,40,+ATK -DEF,"Bonkeno Volcano, Sand and Gravel Wilderness",1.0,"Signpost Forest, Ancient Submerged City",15,800,900,100,35,70,45,Gigimon,,,,,Meramon,Birdramon,Bakemon,GeoGreymon,Growmon,
Tyumon,Child,Virus,Filth,None,None,Dirty Kick,Ultra Stink Spray,Poop Trap,Poop Barrier,Random Poop Toss,Poison Powder,,,,,,,,,,,07:00-22:00,Digi Anchovy,40,+SPD -MP,Sewer Maze,1.0,Binary Castle,15,1100,400,30,40,110,90,Koromon,,,,,Numemon,Orgemon,Tyranomon,Bakemon,Tailmon,
Agumon,Child,Vaccine,Fire,Combat,None,Fire Breath,Fire Tower,Fire Wall,Mine,Mach Jab,Muscle Charge,,,,,,,,,,,04:00-18:00,Meat,40,+ATK -BRN,"Flourescent Cave, Ancient Bone Swamp",1.05,"Ancient Submerged City, Powdery Cliffs",15,900,650,95,80,50,40,Koromon,Gigimon,,,,Greymon,GeoGreymon,Tyranomon,Angemon,Birdramon,
Kamemon,Child,Data,Ice,None,None,Bubble Breath,Hailstone,Splash,Waterfall,Mach Jab,Muscle Charge,,,,,,,,,,,07:00-22:00,Digi Snapper,40,+HP -SPD,"Ancient Submerged City, Powdery Cliffs",1.03,"Bonkeno Volcano, Sand and Gravel Wilderness",16,1200,400,50,100,30,80,Tokomon,,,,,Seadramon,Ikkakumon,Guardromon,Kabuterimon,Tailmon,
Gaomon,Child,Data,Combat,Air,None,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,Wind Shoes,Earth Coat,,,,,,,,,,,07:00-22:00,Meat,40,+SPD -DEF,"Railroad Plains, Signpost Forest",1.03,"Night Canyon, Ancient Bone Swamp",13,700,500,80,40,120,60,Wanyamon,Koromon,,,,Gaogamon,Garurumon,Leomon,GeoGreymon,Orgemon,
Lalamon,Child,Data,Nature,None,None,Poison Powder,Earth Coat,Poison Circle,Roots Bind,Electric Shoot,Wind Shoes,,,,,,,,,,,01:00-15:00,Digi Snapper,40,+MP -ATK,"Railroad Plains, Signpost Forest",1.0,"Bonkeno Volcano, Sand and Gravel Wilderness",12,600,1100,45,50,45,110,Budmon,Mochimon,,,,Sunflowmon,Vegimon,Togemon,Woodmon,Seadramon,
Impmon,Child,Virus,Darkness,None,None,Dark Spirit,Bubble Breath,Hailstone,Mach Jab,Spin Attack,Loose Cloud,,,,,,,,,,,16:00-06:00,Digi Medaka,40,+MP -HP,"Flourescent Cave, Ancient Bone Swamp",1.0,"Ancient Submerged City, Binary Castle",15,400,800,90,40,50,120,Mochimon,,,,,Devimon,Airdramon,Bakemon,Kiwimon,Vegimon,
Guilmon,Child,Virus,Combat,Fire,None,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,Fire Breath,Fire Tower,,,,,,,,,,,11:00-01:00,Meat,40,+ATK -MP,"Bonkeno Volcano, Ancient Bone Swamp",1.08,"Ancient Submerged City, Powdery Cliffs",15,1000,400,115,75,50,40,Koromon,Gigimon,,,,Growmon,Tyranomon,GeoGreymon,Meramon,Devimon,
Patamon,Child,Data,Air,None,None,Electric Shoot,Wind Shoes,Air Cutter,Electric Cloud,Mach Jab,Spin Attack,,,,,,,,,,,04:00-18:00,Digi Snapper,40,+BRN -HP,"Railroad Plains, Sand and Gravel Wilderness",1.0,"Sewer Maze, Bonkeno Volcano",12,500,800,80,50,80,80,Wanyamon,Tokomon,,,,Angemon,Airdramon,Birdramon,Tailmon,V-dramon,
PicoDevimon,Child,Virus,Darkness,None,None,Dark Spirit,Loose Cloud,Electric Shoot,Wind Shoes,Hailstone,Splash,,,,,,,,,,,16:00-06:00,Happy Mushroom,40,+SPD -DEF,"Night Canyon, Ancient Bone Swamp",1.0,"Railroad Plains, Sand and Gravel Wilderness",12,500,600,75,40,105,90,Tunomon,,,,,Devimon,Bakemon,BlackTailmon,Greymon,Togemon,
Goburimon,Child,Virus,Combat,None,None,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Poison Powder,,,,,,,,,,,11:00-01:00,Meat,40,+ATK -DEF,"Signpost Forest, Night Canyon",1.0,"Ancient Submerged City, Powdery Cliffs",15,1200,350,120,40,45,60,Koromon,,,,,Orgemon,Tyranomon,Kuwagamon,Stingmon,Gaogamon,
DORUmon,Child,Data,Machine,Air,None,Mechanical Claw,Upgrade,Energy Ball,Anti-Attack Field,Wind Shoes,Mach Jab,,,,,,,,,,,07:00-22:00,Digi Bitterling,40,+HP -BRN,"Flourescent Cave, Binary Castle",1.0,"Bonkeno Volcano, Sand and Gravel Wilderness",15,850,650,85,75,70,50,Gigimon,,,,,DORUgamon,XV-mon,Centalmon,Guardromon,Garurumon,
V-mon,Child,Free,Combat,None,None,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,War Cry,Earth Coat,,,,,,,,,,,04:00-18:00,Divine Chestnut,40,+DEF -MP,"Bonkeno Volcano, Sand and Gravel Wilderness",1.05,"Signpost Forest, Ancient Bone Swamp",16,750,450,65,110,70,55,Tunomon,,,,,XV-mon,V-dramon,Gaogamon,Greymon,Meramon,
Gabumon,Child,Data,Combat,Fire,None,Mach Jab,Muscle Charge,Spin Attack,Heavy Impact,Fire Breath,Fire Tower,,,,,,,,,,,07:00-22:00,Meat,40,+HP -SPD,"Railroad Plains, Sand and Gravel Wilderness",1.05,"Sewer Maze, Bonkeno Volcano",15,1200,400,50,85,85,40,Tokomon,Tunomon,,,,Garurumon,Leomon,Growmon,BlackTailmon,Greymon,
Tentomon,Child,Vaccine,Nature,Air,None,Poison Powder,Earth Coat,Poison Circle,Roots Bind,Muscle Charge,Spin Attack,,,,,,,,,,,19:00-09:00,Smiling Apple,40,+HP -MP,"Signpost Forest, Ancient Bone Swamp",1.03,"Sewer Maze, Powdery Cliffs",13,1100,450,75,100,45,45,Tokomon,Mochimon,,,,Kabuterimon,Kuwagamon,Stingmon,Sunflowmon,Airdramon,
Piyomon,Child,Vaccine,Nature,Fire,None,Poison Powder,Earth Coat,Poison Circle,Roots Bind,Fire Breath,Fire Tower,,,,,,,,,,,04:00-18:00,Digimushroom,40,+MP -DEF,"Railroad Plains, Sand and Gravel Wilderness",1.03,"Sewer Maze, Bonkeno Volcano",16,800,950,45,35,90,75,Budmon,Mochimon,,,,Birdramon,Airdramon,Kiwimon,Angemon,V-dramon,
Meramon,Adult,Data,Fire,Combat,None,Fire Breath,Fire Tower,Fire Wall,Mine,Spread Bomb,Mach Jab,Muscle Charge,Spin Attack,,,,,,,,,16:00-06:00,Super Carrot,70,+ATK -BRN,"Bonkeno Volcano, Sand and Gravel Wilderness",1.55,"Ancient Submerged City, Powdery Cliffs",22,1900,1350,265,140,180,140,Guilmon,Candmon,Hagurumon,V-mon,,BlueMeramon,DeathMeramon,Vademon,,,
