ID,HP,MP,OFFENSE,DEFENSE,SPEED,BRAINS,WEIGHT,HAPPINESS,DISCIPLINE,BATTLES,TECHS,DECODE,CARE,DIGIMEMORY,DIGIMON,EVOITEM,HP_DIV10,MP_DIV10,REINCARNATION,TRIGGER,QUOTA
Dodomon,,,,,,,,,,,,,,,,,,,,,0
Botamon,,,,,,,,,,,,,,,,,,,,,0
Jyarimon,,,,,,,,,,,,,,,,,,,,,0
Yuramon,,,,,,,,,,,,,,,,,,,,,0
Poyomon,,,,,,,,,,,,,,,,,,,,,0
Wanyamon,,,,,,,,,,,,,,,Dodomon,,,,,,0
Koromon,,,,,,,,,,,,,,,Botamon,,,,,,0
Gigimon,,,,,,,,,,,,,,,Jyarimon,,,,,,0
Budmon,,,,,,,,,,,,,,,Yuramon,,,,,,0
Tokomon,,,,,,,,,,,,,,,Poyomon,,,,,,0
Hagurumon,,,,,,^0,>13,,,,,,,,"Gigimon, Mochimon",,,,,,2
Candmon,,,,,,,>12,,,,,,,,Gigimon,,,^0,,,2
Tyumon,,,,,^0,,>13,,,,,,,,Koromon,,,,,,2
Tukaimon,,,,,,,,,,,,,,,,,,,,,0
Agumon,,,^0,,,,<12,,,,,,,,"Koromon, Gigimon",,,,,,2
Kamemon,,,,^0,,,>13,,,,,,,,Tokomon,,,,,,2
Kudamon,,,,,,,,,,,,,,,,,,,,,0
Gaomon,,,,,^0,,<12,,,,,,,,"Wanyamon, Koromon",,,,,,2
Lalamon,,,,,,,<12,,,,,,,,"Budmon, Mochimon",,,^0,,,2
Impmon,,,,,,^0,<12,,,,,,,,Mochimon,,,,,,2
Guilmon,,,^0,,,,>13,,,,,,,,"Koromon, Gigimon",,,,,,2
Patamon,,,,,,,>14,,,,,,,,"Wanyamon, Tokomon",,,^0,,,2
PicoDevimon,,,,,^0,,>14,,,,,,,,Tunomon,,,,,,2
BlackGabumon,,,,,,,,,,,,,,,,,,,,,0
Psychemon,,,,,,,,,,,,,,,,,,,,,0
Goburimon,,,,,,,>15,,,,,,,,Koromon,,^0,,,,2
DORUmon,,,,,,,>15,,,,,,,,Gigimon,,^0,,,,2
V-mon,,,,^0,,,>13,,,,,,,,Tunomon,,,,,,2
YukiAgumon,,,,,,,,,,,,,,,,,,,,,0
BlackAgumon,,,,,,,,,,,,,,,,,,,,,0
Gabumon,,,,,,,>14,,,,,,,,"Tokomon, Tunomon",,^0,,,,2
NO DATA (32),,,,,,,,,,,,,,,,,,,,,0
Solarmon,,,,,,,,,,,,,,,,,,,,,0
NO DATA (34),,,,,,,,,,,,,,,,,,,,,0
Tentomon,,,,^0,,,<12,,,,,,,,"Tokomon, Mochimon",,,,,,2
Piyomon,,,,,,,>15,,,,,,,,"Budmon, Mochimon",,^0,,,,2
Meramon,>700,,>110,,>70,,>20,,,>15,>28,>12,<10,,Candmon,,,,,,3
Airdramon,,>600,,,>80,>80,>26,,>90,,>35,>15,<5,,,,,,,,3
Garurumon,>1000,,,>70,>80,,>23,>75,,,>14,>7,<3,,Gabumon,,,,,,3
Bakemon,,>800,,,,>100,>16,>80,,,>28,>12,>2,,,,,,,,3
NO DATA (41),,,,,,,,,,,,,,,,,,,,,0
NO DATA (42),,,,,,,,,,,,,,,,,,,,,0
Whamon,,,,,,,,,,,,,,,,,,,,,0
NO DATA (44),,,,,,,,,,,,,,,,,,,,,0
BlackTailmon,>1000,,>60,,>80,,>10,,,>16,>14,>7,>2,,Plotmon,,,,,,3
NO DATA (46),,,,,,,,,,,,,,,,,,,,,0
GeoGreymon,,,>120,,>80,>60,>28,,,>15,>35,>15,<5,,Agumon,,,,,,3
Sunflowmon,,>800,,,,>80,>20,>80,,,>14,>7,<3,,Lalamon,,,,,,3
Gaogamon,,,>80,,>120,,>18,,>90,,>14,>7,<1,,Gaomon,,,,,,3
Numemon,>1500,,,,,,>20,,,,,,<10,,Tyumon,,,,,,3
Leomon,>600,,>80,,,>60,>24,,,>10,>35,>15,<5,,,,,,,,3
NO DATA (52),,,,,,,,,,,,,,,,,,,,,0
Growmon,>800,,>100,>70,,,>24,,>90,,>35,>15,<5,,Guilmon,,,,,,3
Angemon,,,>80,,>80,>80,>20,,>90,,>35,>15,0,,Patamon,,,,,,3
Growmon (Yellow),,,,,,,,,,,,,,,,,,,,,0
Tailmon,,>1000,,>80,,>60,>10,,,<15,>14,>7,<1,,Plotmon,,,,,,3
Devimon,,,>100,,,>100,>20,,<70,,>35,>15,>3,,PicoDevimon,,,,,,3
BlackGrowmon,,,,,,,,,,,,,,,,,,,,,0
IceDevimon,,,,,,,,,,,,,,,,,,,,,0
NO DATA (60),,,,,,,,,,,,,,,,,,,,,0
BlackGarurumon,,,,,,,,,,,,,,,,,,,,,0
Gururumon,,,,,,,,,,,,,,,,,,,,,0
Geremon,,,,,,,,,,,,,,,,,,,,,0
NO DATA (64),,,,,,,,,,,,,,,,,,,,,0
NO DATA (65),,,,,,,,,,,,,,,,,,,,,0
Kabuterimon,>800,,>80,>90,,,>25,>80,,,>35,>15,<10,,Tentomon,,,,,,3
Birdramon,,>700,,,>90,>60,>21,,,<15,>35,>15,>3,,Piyomon,,,,,,3
Scumon,,,,,,,,,,,,,,,,,,,,,0
Vegimon,,>600,,,,>80,>18,>75,,,>14,>7,<5,,,,,,,,3
Greymon,>1000,,>80,>80,,,>25,>65,,,>28,>12,<3,,Agumon,,,,,,3
NO DATA (71),,,,,,,,,,,,,,,,,,,,,0
Lucemon FM,>4500,>4000,>450,>380,>420,>680,>40,,,,>55,>20,<3,,,,,,,5072,5
NO DATA (73),,,,,,,,,,,,,,,,,,,,,0
Monzaemon,>2800,>1200,>180,>250,>160,>160,>48,,,>40,>49,>18,0,,,,,,,5074,5
RizeGreymon,>2100,,>310,,>240,>160,>48,,,>25,>40,>16,<5,,GeoGreymon,,,,,,5
Lilamon,,>2600,,>180,>210,>250,<35,>80,,,>30,>15,<5,,Sunflowmon,,,,,,5
MachGaogamon,>1800,,>230,,>330,>160,>32,,>90,,>40,>16,<5,,Gaogamon,,,,,,5
NO DATA (78),,,,,,,,,,,,,,,,,,,,,0
NO DATA (79),,,,,,,,,,,,,,,,,,,,,0
NO DATA (80),,,,,,,,,,,,,,,,,,,,,0
Vamdemon,>2300,>1400,>220,>150,>190,>350,>34,,<60,,>40,>16,>4,,Devimon,,,,,,5
Stingmon,,,>115,,>180,,>20,,>90,,>35,>15,<5,,Wormmon,,,,,,3
HolyAngemon,>1900,,,>300,>170,>240,>37,,>90,,>40,>16,0,,Angemon,,,,,,5
LadyDevimon,,>2000,>210,,>320,>160,<33,>80,,,>40,>16,>4,,BlackTailmon,,,,,,5
MegaSeadramon,,>2300,>180,>170,,>290,>36,,,,>49,>18,<10,,Seadramon,,,,,,5
NO DATA (86),,,,,,,,,,,,,,,,,,,,,0
MegaloGrowmon,>2600,,>230,>300,,>130,>53,,,>25,>40,>16,<5,,Growmon,,,,,,5
BlackMegaloGrowmon,,,,,,,,,,,,,,,,,,,,,0
WereGarurumon,>2700,,>210,>180,>240,,>43,>80,,,>40,>16,<5,,Garurumon,,,,,,5
Angewomon,,>1900,>180,,>210,>320,<35,>80,,,>40,>16,0,,Tailmon,,,,,,5
BlueMeramon,>1700,,>350,,>180,>100,>33,,,>25,>30,>15,<15,,Meramon,,,,,,5
BlackWereGarurumon,,,,,,,,,,,,,,,,,,,,,0
NO DATA (93),,,,,,,,,,,,,,,,,,,,,0
NO DATA (94),,,,,,,,,,,,,,,,,,,,,0
MegaloGrowmon (Orange),,,,,,,,,,,,,,,,,,,,,0
NO DATA (96),,,,,,,,,,,,,,,,,,,,,0
Megadramon,>1700,>2300,>300,>170,>210,>200,>52,,,>25,>40,>16,<10,,,,,,,,5
MetalGreymon,>2500,,>280,>190,>190,,>53,,>95,>25,>40,>16,<5,,Greymon,,,,,,5
AtlurKabuterimon,>2600,,>160,>280,>200,,>36,>80,,,>40,>16,<10,,Kabuterimon,,,,,,5
Garudamon,,>1800,,>140,>310,>270,>46,,,<40,>40,>16,<10,,Birdramon,,,,,5100,5
Etemon,>2800,>1000,>220,>240,>350,>180,>33,>80,,,>30,>15,>2,,,,,,,,5
MarinAngemon,,>3800,,>380,>420,>500,<40,>80,,,>40,>16,0,,,,,,,,6
WarGreymon,>4500,>2500,>480,>420,>380,>360,>55,,>95,>40,>40,>16,<10,,,,,,,5103,8
Lilithmon,,>4600,>580,>440,>520,>650,<40,>80,,,>40,>16,>5,,,,,,,5104,7
Beelzebumon,>5000,>4000,>650,,>650,>450,>44,,<55,,>40,>16,>5,,,,,,,5105,7
Barbamon,>5000,>8000,>650,>650,>550,>850,<50,,<20,,>55,>20,>5,,,,,,,5106,8
Leviamon,,,,,,,,,,,,,,,,,,,,,0
Demon,,,,,,,,,,,,,,,,,,,,,0
Belphemon,,,,,,,,,,,,,,,,,,,,,0
Chaosmon,,,,,,,,,,,,,,"Darkdramon, BanchoLeomon","BanchoLeomon, Darkdramon",,,,,,1
Darkdramon,,>6500,>550,>400,>430,>680,>55,,,>40,>40,>16,<10,,,,,,,,7
BanchoLeomon,>4800,,>460,>400,>350,>420,>40,,,>40,>50,>18,0,,,,,,,,7
Rosemon,>3300,>4600,,,>490,>560,<42,>80,,,>30,>15,<5,,,,,,,,6
PlatinumNumemon,>5000,>3200,,>550,,>480,>49,>90,,,>40,>16,<15,,,,,,,,6
NO DATA (115),,,,,,,,,,,,,,,,,,,,,0
Omegamon,,,,,,,,,,,,,,"WarGreymon, MetalGarurumon","MetalGarurumon, WarGreymon",,,,,,1
ShineGreymon,>4000,>4200,>600,,>520,>400,>48,>75,,>40,>40,>16,<5,,,,,,,,7
MirageGaogamon,>3500,,>550,>320,>680,,>38,,>90,,>40,>16,<5,,,,,,,,6
NO DATA (119),,,,,,,,,,,,,,,,,,,,,0
WarGreymon X-Antibody,,,,,,,,,,,,,,,WarGreymon,Courage X-Antibody,,,,,0
Dukemon,>5000,>2500,>500,>600,,>550,>52,,>75,>40,>40,>16,<5,,,,,,,5121,7
MetalGarurumon,>4500,,>380,>520,>550,,>43,>80,,,>40,>16,<5,,,,,,,5122,6
ChaosDukemon,,,,,,,,,,,,,,,,,,,,,0
BlackWarGreymon,,,,,,,,,,,,,,,,,,,,,0
BlackMetalgarurumon,,,,,,,,,,,,,,,,,,,,,0
NO DATA (126),,,,,,,,,,,,,,,,,,,,,0
NO DATA (127),,,,,,,,,,,,,,,,,,,,,0
NO DATA (128),,,,,,,,,,,,,,,,,,,,,0
NO DATA (129),,,,,,,,,,,,,,,,,,,,,0
NO DATA (130),,,,,,,,,,,,,,,,,,,,,0
Z'dGarurumon,>5500,,>460,>410,>530,,>45,,,>40,>50,>18,<10,,,,,,122,,6
VictoryGreymon,>5000,,>620,>540,,>350,>52,,,>40,>50,>18,<10,,,,,,121,,6
NO DATA (133),,,,,,,,,,,,,,,,,,,,,0
NO DATA (134),,,,,,,,,,,,,,,,,,,,,0
NO DATA (135),,,,,,,,,,,,,,,,,,,,,0
Examon,,,,,,,,,,,,,,,,Dragon Emperor's Giant Lance,,,,,0
Jijimon,,,,,,,,,,,,,,,,,,,,,0
HerakleKabuterimon,>5500,,>370,>560,>360,,>48,>80,,,>40,>16,<5,,,,,,,,6
Hououmon,>2500,>3800,,>340,>380,>490,>33,>100,,,>40,>16,<10,,,,,,,,7
MetalEtemon,>4400,>3200,>410,>640,>530,>380,>45,>80,,,>40,>16,>4,,,,,,,,8
Seraphimon,>4000,,>600,,>500,>500,>46,,>90,,>40,>16,0,,,,,,,5141,6
MetalGreymon (Virus),,,,,,,,,,,,,,,,,,,,,0
Apocalymon,,,,,,,,,,,,,,,,,,,,,0
Vitium,,,,,,,,,,,,,,,,,,,,,0
Vitium,,,,,,,,,,,,,,,,,,,,,0
Vitium,,,,,,,,,,,,,,,,,,,,,0
Vitium,,,,,,,,,,,,,,,,,,,,,0
BlackWarGreymon X-Antibody,,,,,,,,,,,,,,,,,,,,,0
Agumon (Red),,,,,,,,,,,,,,,,,,,,,0
Guardromon,>800,,,>120,,>80,>27,,,>15,>28,>12,<10,,Hagurumon,,,,,,3
